Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018
Aguascalientes,1 323 978,1 398 117,1 397 297,1 528 538,1 399 010,1 524 035,1 442 156,1 686 440,1 484 067,1 512 672,1 526 043,1 661 001,1 646 851,1 579 525,1 729 164,1 770 667,2 018 619,2 062 915,2 259 834,2 124 640,2 118 625,2 121 267,2 152 218,2 103 334,2 037 057,1 975 078,1 893 795,1 965 032,2 107 344,1 983 401,1 796 388,1 942 886,2 167 232,2 408 342,2 518 235,2 524 598
Baja California,5 842 101,7 444 286,7 403 506,8 192 301,6 761 548,7 403 489,7 570 411,8 416 065,6 846 122,7 796 207,7 862 508,9 158 216,6 536 843,8 027 851,8 107 738,9 557 140,6 936 175,8 759 343,8 778 162,10 529 171,7 369 387,9 343 771,9 923 376,11 805 462,7 479 002,8 740 247,9 355 195,10 422 836,7 852 746,8 699 364,9 259 593,10 504 013,8 129 939,9 542 499,9 934 955,11 054 524
Baja California Sur, 44 999, 37 361, 51 449, 57 024, 45 047, 37 290, 44 559, 47 956, 41 595, 34 729, 46 243, 46 631, 37 997, 32 606, 53 306, 53 307, 49 538, 40 060, 46 115, 47 142, 34 033, 42 549, 52 595, 70 484, 41 140, 47 824, 70 885, 77 665, 48 396, 57 643, 54 992, 88 542, 66 789, 39 501, 76 780, 40 684
Campeche,5 266 891,5 578 997,5 702 240,7 008 247,7 294 517,8 155 881,7 687 589,8 197 449,7 786 398,6 981 991,7 315 913,7 310 271,7 067 710,6 450 361,6 979 230,6 639 223,6 188 844,5 994 174,5 705 026,4 439 033,3 147 237,3 148 083,2 818 983,2 174 063,1 642 688,2 301 925,2 743 753,2 826 741,2 778 502,2 593 093,3 162 432,4 192 064,4 234 394,4 596 613,4 992 044,4 515 474
Coahuila de Zaragoza,4 857 136,5 483 836,5 582 600,6 047 063,6 128 549,7 043 858,7 138 023,6 928 085,7 432 175,8 266 482,7 867 762,8 069 701,7 504 822,8 369 610,8 599 865,8 540 814,7 904 540,8 967 177,8 825 850,9 141 359,8 691 692,9 310 227,9 223 800,9 026 051,8 578 029,9 261 350,9 578 232,10 281 952,9 026 260,9 730 972,9 702 091,10 491 354,9 703 425,10 092 970,10 507 442,10 602 160
Colima, 23 027, 24 813, 30 483, 29 533, 28 871, 37 039, 38 857, 37 967, 46 324, 57 583, 56 056, 61 134, 50 893, 73 786, 67 769, 88 537, 53 732, 60 544, 82 204, 73 223, 65 601, 73 582, 87 573, 61 652, 60 616, 68 463, 71 842, 71 691, 31 812, 33 858, 40 305, 27 705, 147 321, 134 371, 138 293, 133 463
Chiapas, 279 719, 305 045, 309 548, 350 843, 391 710, 444 553, 416 786, 412 230, 432 987, 411 607, 402 646, 371 330, 397 842, 422 336, 401 663, 391 452, 376 551, 410 312, 352 952, 320 812, 324 367, 281 649, 281 257, 278 477, 137 973, 154 784, 150 254, 144 493, 150 065, 159 842, 139 621, 156 603, 182 737, 173 510, 157 382, 157 565
Chihuahua,7 459 446,8 871 485,9 067 711,9 235 240,8 858 125,10 025 240,9 617 578,9 945 071,9 918 103,10 723 298,9 772 853,11 350 607,9 728 740,11 061 060,11 497 424,11 483 755,10 254 817,11 651 950,11 576 001,12 111 682,9 680 562,9 991 213,10 620 606,10 010 564,9 359 723,10 708 947,11 718 889,11 554 507,10 374 120,12 311 418,11 845 792,11 960 220,11 413 663,13 077 607,12 952 196,14 500 582
Ciudad de México, 630 148, 697 731, 726 071, 705 663, 701 677, 773 957, 815 542, 777 631, 728 108, 781 575, 758 352, 669 428, 619 278, 652 894, 701 253, 629 204, 646 335, 723 431, 727 667, 607 864, 578 843, 658 534, 624 332, 590 593, 575 583, 608 737, 591 797, 526 734, 652 602, 678 235, 630 576, 669 131, 603 073, 667 737, 688 050, 657 969
Durango, 206 239, 251 690, 288 576, 370 768, 345 729, 335 899, 373 113, 348 181, 405 569, 397 285, 384 956, 420 476, 413 525, 442 359, 392 230, 439 061, 402 116, 482 171, 502 415, 475 264, 437 362, 453 465, 438 209, 423 459, 379 813, 444 970, 425 408, 404 593, 375 303, 424 657, 428 761, 443 636, 444 286, 487 068, 511 159, 538 978
Guanajuato,1 860 192,2 077 680,2 136 027,2 202 051,2 344 892,2 555 626,2 451 999,2 348 582,2 473 576,2 463 324,2 683 860,2 527 954,2 695 078,2 822 474,3 376 320,3 277 126,3 822 067,4 141 964,4 523 153,4 717 185,4 926 147,5 397 061,5 316 513,5 148 110,5 162 738,5 661 593,5 598 267,5 677 237,5 610 968,5 909 381,5 740 683,6 099 258,6 323 818,6 533 524,5 866 674,6 189 671
Guerrero, 148 729, 201 304, 138 554, 140 797, 178 598, 173 332, 167 080, 161 037, 176 402, 180 261, 177 425, 193 947, 169 895, 163 595, 141 852, 137 985, 145 893, 120 872, 132 113, 95 118, 94 084, 82 324, 76 798, 81 316, 141 760, 185 765, 174 404, 145 858, 52 479, 61 556, 53 918, 69 005, 160 227, 168 386, 179 955, 190 500
Hidalgo, 264 014, 227 660, 299 785, 307 730, 341 472, 396 206, 356 056, 445 366, 457 179, 356 216, 370 150, 326 458, 351 353, 371 544, 386 958, 480 119, 365 049, 462 760, 464 637, 429 205, 489 876, 474 970, 402 463, 359 195, 397 915, 486 210, 376 558, 417 046, 465 780, 500 826, 407 518, 414 809, 487 605, 565 866, 572 133, 611 019
Jalisco,4 221 900,4 482 745,5 133 132,4 963 218,3 722 854,3 774 454,3 954 831,3 881 063,4 416 442,5 000 706,4 920 268,5 042 302,4 398 894,5 111 480,5 426 175,5 167 967,4 227 394,4 557 207,4 895 206,5 057 905,4 543 506,4 942 241,5 171 703,5 080 234,4 396 917,4 731 721,4 807 554,3 941 670,4 413 671,4 520 201,4 560 131,5 193 645,4 576 090,5 309 402,5 050 672,5 469 574
México,2 362 862,2 640 886,2 892 311,2 966 952,3 551 286,4 083 190,4 121 264,4 164 790,4 087 113,4 388 228,4 116 405,4 484 812,4 093 385,4 729 256,4 680 869,4 706 973,4 913 506,5 779 393,6 003 133,5 776 376,5 195 984,5 451 790,5 411 479,5 333 473,4 264 476,4 650 303,4 156 451,4 260 993,4 196 508,4 598 255,4 848 988,4 958 241,4 781 797,4 827 791,5 457 407,5 219 157
Michoacán de Ocampo, 313 049, 351 190, 241 983, 274 459, 384 424, 271 836, 221 356, 264 691, 281 345, 322 110, 306 043, 342 486, 338 853, 438 191, 397 484, 359 574, 280 421, 260 395, 292 089, 266 414, 207 026, 227 745, 237 902, 150 227, 203 737, 236 875, 310 526, 228 076, 320 886, 357 848, 319 614, 274 226, 433 019, 492 823, 533 227, 406 293
Morelos, 488 070, 501 784, 527 213, 584 546, 727 318, 750 506, 779 592, 884 064,1 002 890,1 008 939,1 032 923,1 075 257,1 024 022,1 016 031,1 086 497,1 080 504, 890 068, 921 194,1 025 958, 954 366, 856 509, 840 670, 868 226, 837 353, 960 602, 968 496, 907 027, 951 396, 916 529, 886 616, 808 864, 878 774, 870 550, 987 415, 953 060, 985 343
Nayarit, 5 665, 10 968, 27 561, 19 171, 21 292, 32 482, 30 259, 17 505, 18 196, 26 788, 27 371, 24 633, 19 753, 27 081, 41 353, 21 220, 23 250, 31 575, 32 380, 25 403, 18 389, 25 080, 41 245, 16 539, 40 584, 40 681, 48 243, 36 853, 28 758, 34 074, 32 745, 28 977, 33 164, 25 819, 45 466, 31 284
Nuevo León,4 788 359,5 468 272,5 248 697,5 838 438,5 644 078,6 340 007,6 371 198,6 234 372,6 231 282,6 818 094,6 428 738,6 337 387,5 884 023,6 669 096,6 649 404,6 694 661,6 803 424,7 889 344,8 273 500,8 546 745,8 186 935,9 398 512,8 558 835,8 377 874,7 364 914,8 100 650,8 309 778,8 401 963,7 778 230,9 046 686,9 737 585,9 442 224,8 544 847,9 784 111,10 452 947,10 725 565
Oaxaca, 233 429, 149 558, 239 715, 207 509, 247 214, 271 891, 225 798, 252 074, 255 026, 165 954, 178 155, 177 359, 268 870, 271 451, 241 578, 335 921, 302 681, 388 897, 355 269, 312 382, 258 837, 252 683, 162 549, 63 132, 161 934, 183 490, 142 999, 138 738, 194 701, 165 821, 119 239, 123 919, 183 898, 284 801, 170 064, 219 424
Puebla,1 915 632,2 147 614,2 207 386,2 325 778,2 470 537,2 492 454,2 989 853,2 739 537,2 578 958,2 940 537,3 674 400,3 084 051,2 907 772,3 161 879,2 710 320,2 223 373,2 393 871,2 935 982,2 540 797,2 723 942,2 461 247,2 756 991,2 620 320,2 303 084,1 823 535,2 281 831,2 335 979,2 931 625,2 935 262,3 729 408,3 878 739,4 475 743,3 827 029,4 045 517,4 547 416,4 153 938
Querétaro,1 031 582,1 131 436,1 192 281,1 243 465,1 396 814,1 494 416,1 570 547,1 626 487,1 732 769,1 884 449,1 834 665,1 934 509,1 804 059,2 032 247,2 040 332,2 282 081,2 078 945,2 362 957,2 318 682,2 387 192,2 341 690,2 694 838,2 662 865,2 701 074,2 447 919,2 745 941,2 516 615,2 604 361,2 410 080,2 707 883,2 513 118,2 847 531,2 585 452,2 864 952,2 609 041,3 050 782
Quintana Roo, 9 686, 9 197, 30 169, 9 951, 43 904, 34 428, 11 162, 10 813, 14 789, 12 132, 3 519, 13 735, 5 109, 11 946, 18 350, 1 128, 12 035, 2 161, 3 911, 1 116, 12 887, 14 512, 2 763,  913, 1 808, 2 223, 4 416, 14 709,  748, 16 121, 15 669,  635,  603, 14 072, 22 778, 14 994
San Luis Potosí,1 042 238,1 188 233,1 258 903,1 336 237,1 360 092,1 479 204,1 471 696,1 444 606,1 611 681,1 843 188,1 842 922,1 926 623,1 820 947,2 043 990,1 955 994,1 982 734,1 973 368,2 128 705,2 196 434,2 178 326,2 317 648,2 550 710,2 470 131,2 467 908,2 234 763,2 468 555,2 366 753,2 434 955,3 038 088,3 345 204,3 272 620,3 704 675,3 559 486,3 858 738,3 905 627,3 854 253
Sinaloa, 64 868, 69 750, 65 451, 65 049, 88 038, 80 409, 70 711, 74 411, 113 226, 119 869, 94 787, 121 670, 126 587, 148 346, 131 874, 113 637, 179 474, 202 537, 206 215, 181 482, 341 460, 336 386, 326 218, 241 853, 291 995, 338 228, 318 147, 335 591, 229 257, 232 398, 239 246, 259 232, 268 472, 309 852, 275 466, 249 332
Sonora,3 030 275,3 347 614,3 447 695,3 665 352,3 370 126,3 652 009,3 363 420,3 709 670,3 638 664,3 709 951,3 221 470,4 068 853,4 184 639,4 907 724,4 312 145,4 412 058,3 781 521,4 037 824,3 864 673,3 927 866,3 987 547,4 472 273,4 062 750,4 373 313,4 364 838,4 483 023,4 290 280,4 406 282,4 251 619,4 442 087,4 241 958,4 507 933,4 301 575,4 308 605,4 324 334,4 793 301
Tabasco,2 375 725,2 508 990,2 591 429,3 132 563,3 595 879,4 083 694,3 822 519,4 043 758,3 906 518,3 534 905,3 690 263,3 616 992,3 387 381,3 120 015,3 363 088,3 180 061,3 092 984,3 036 092,2 892 432,2 273 958,1 846 282,1 785 543,1 652 246,1 319 556, 932 738,1 333 885,1 528 687,1 575 444,1 411 326,1 318 392,1 599 791,2 083 017,1 776 628,1 841 888,1 855 668,1 455 251
Tamaulipas,4 825 014,5 680 973,5 566 689,5 222 080,5 427 522,5 797 900,5 770 248,5 088 833,5 395 155,5 870 594,5 353 605,5 648 841,5 129 106,5 783 404,5 821 911,6 194 827,6 075 184,7 046 509,7 032 143,7 244 159,6 451 254,6 696 944,6 531 105,6 620 799,5 717 820,6 280 640,6 490 284,6 437 482,5 913 470,6 486 657,6 359 220,6 747 969,6 188 198,6 667 560,6 924 923,7 258 640
Tlaxcala, 180 259, 197 229, 220 948, 217 602, 217 234, 234 041, 252 635, 234 073, 243 782, 251 942, 249 900, 270 768, 287 106, 317 074, 318 834, 315 623, 305 210, 336 109, 324 127, 313 090, 306 321, 321 675, 349 012, 330 244, 333 032, 323 730, 330 282, 323 757, 343 526, 343 198, 336 172, 357 068, 313 744, 377 758, 373 202, 374 932
Veracruz de Ignacio de la Llave,1 233 369,1 294 659,1 261 395,1 382 744,1 584 071,1 747 849,1 716 311,1 697 451,1 894 824,1 767 716,1 651 120,1 670 622,1 883 945,1 924 841,1 826 043,1 869 118,1 768 908,2 130 112,1 730 573,1 613 202,1 570 236,1 394 210,1 366 484,1 106 125,1 008 378,1 065 853,1 095 768,1 169 857,1 401 668,1 340 166,1 209 443,1 411 586,1 486 425,1 632 515,1 460 672,1 378 974
Yucatán, 264 512, 280 923, 317 646, 336 927, 289 593, 314 009, 355 693, 367 105, 298 107, 309 352, 372 378, 348 521, 276 421, 289 644, 314 794, 336 140, 306 434, 317 596, 377 966, 420 480, 339 654, 353 227, 392 143, 385 916, 333 746, 324 374, 294 322, 310 212, 205 278, 245 491, 246 902, 265 292, 226 877, 260 754, 266 661, 282 656
Zacatecas, 469 965, 678 436, 545 976, 582 944, 777 331, 779 854, 805 900, 860 025, 875 339, 916 568, 898 328, 855 621, 628 835, 851 891, 984 810,1 023 965, 695 697, 877 901, 782 142, 731 007, 827 593, 935 248, 792 823, 769 502, 629 869, 583 536, 698 844, 881 260, 764 879, 791 529, 792 809, 677 481, 791 642, 867 225, 704 794, 709 587