"Nacimientos registrados por Entidad federativa de residencia habitual de la madre, Periodo y Sexo"

"Entidad federativa de residencia habitual de la madre";"2010 Total";"2011 Total";"2012 Total";"2013 Total";"2014 Total";"2015 Total";"2016 Total";"2017 Total"
"Total";2643908;2586287;2498880;2478889;2463420;2353596;2293708;2234039
"Aguascalientes";26583;27427;26933;26434;27080;26486;26388;26955
"Baja California";63559;65631;62871;61840;63183;63805;62608;61840
"Baja California Sur";13988;13412;12864;12489;12667;12526;12545;12573
"Campeche";20380;22138;18343;18998;19304;17862;17361;17034
"Coahuila de Zaragoza";56972;58882;59966;62490;62966;62807;62011;58393
"Colima";13796;14054;13422;13287;13303;12344;11867;11756
"Chiapas";175382;168256;144423;164102;164912;145526;140356;131638
"Chihuahua";74063;69376;69735;66516;66110;63395;62313;63475
"Ciudad de México";160057;156549;153631;145302;145609;135828;128227;119227
"Durango";42514;41922;40269;39298;40337;39738;37801;37897
"Guanajuato";126741;124003;122412;119083;114890;114269;117281;116531
"Guerrero";119780;113692;98285;102077;90352;80336;87127;79244
"Hidalgo";62185;63380;59924;59045;54108;54124;52629;50255
"Jalisco";161543;163123;161217;159748;158592;151578;148377;151950
"México";335898;327165;326412;317834;316088;303778;295635;286204
"Michoacán de Ocampo";116260;111362;104885;105158;104370;98543;96217;95287
"Morelos";40210;40230;37446;37335;36666;37089;35632;33159
"Nayarit";24639;24949;25731;24163;22930;23663;21714;21688
"Nuevo León";94119;93747;94440;93710;93225;93123;92978;89115
"Oaxaca";109624;98888;95505;92503;88364;85492;83564;78673
"Puebla";160571;146865;147296;140507;150633;141121;132823;136271
"Querétaro";40863;41714;41567;41817;42231;41904;39634;39400
"Quintana Roo";28999;28848;28736;28103;30563;30841;30367;29442
"San Luis Potosí";58583;57549;55847;54488;54112;52250;49688;48693
"Sinaloa";61233;60208;57543;56267;55371;53461;53247;51850
"Sonora";54110;54756;53768;52825;51894;48925;46785;45951
"Tabasco";49844;49575;48806;52478;52508;49785;50310;48725
"Tamaulipas";69211;66892;63263;59933;62358;60263;58914;57282
"Tlaxcala";27076;27867;28203;27060;25832;26166;25057;26589
"Veracruz de Ignacio de la Llave";174086;171417;164174;161019;162156;144842;137338;126623
"Yucatán";37703;36860;36427;38588;37579;37117;35381;35017
"Zacatecas";35974;36629;35625;35089;34031;33833;33677;34460